episode,mob_type,total_damage_dealt,total_health_lost,total_time,min_reward,max_reward,killed_mob,episode_time
1,Witch,9.3,15.666668,17.980571746826172,-60.0,150.0,False,598
2,Witch,0.0,5.166668,18.067012071609497,-60.0,120.0,False,600
3,Witch,0.0,17.666668,17.978042125701904,-60.0,75.0,False,598
4,Witch,10.0,0.0,18.014183282852173,-60.0,135.0,False,598
5,Witch,26.0,2.1666680000000014,15.037286758422852,-60.0,135.0,True,502
6,Witch,9.0,14.666666,18.064314603805542,-60.0,135.0,False,601
7,Witch,26.0,4.0,5.631554365158081,-60.0,150.0,True,188
8,Witch,13.649996,7.833333,18.000937461853027,-60.0,150.0,False,598
9,Witch,5.0,13.500002,17.98046064376831,-70.0,130.0,False,598
10,Witch,26.0,2.3333319999999986,9.816080331802368,-60.0,120.0,True,328
11,Witch,0.0,0.0,18.071250200271606,-60.0,135.0,False,601
12,Witch,5.448961000000001,20.0,15.209645986557007,-60.0,90.0,False,504
13,Witch,0.0,12.666668,18.072087049484253,-60.0,12.249999999999979,False,601
14,Witch,10.0,14.666668,18.00204563140869,-70.0,165.0,False,600
15,Witch,26.0,3.8333340000000007,8.947880029678345,-60.0,150.0,True,299
16,Witch,5.0,0.0,18.005378484725952,-60.0,90.0,False,600
17,Witch,17.0,6.500002,17.9960036277771,-60.0,150.0,False,600
18,Witch,3.0,0.16666800000000137,18.011815071105957,-70.0,150.0,False,600
19,Witch,12.699993,16.666668,18.036230325698853,-60.00000450000001,150.0,False,600
20,Witch,0.0,8.666666,18.030173540115356,-60.0,75.0,False,601
21,Witch,26.0,1.1666680000000014,13.072312831878662,-60.0,120.0,True,436
22,Witch,1.0,7.166668,18.081576824188232,-60.0,120.0,False,601
23,Witch,0.14999999999999858,12.333334,18.033318042755127,-70.0,150.0,False,599
24,Witch,0.0,17.833334,18.0053288936615,-69.99999999999999,120.0,False,600
25,Witch,26.0,15.666665,11.217219352722168,-60.0,120.0,True,374
26,Witch,8.0,6.833334000000001,17.999281644821167,-70.0,120.0,False,599
27,Witch,6.0,12.166668,18.096692323684692,-60.0,135.0,False,601
28,Witch,11.0,6.666665999999999,18.05132007598877,-60.0,120.0,False,601
29,Witch,8.0,7.666667,17.992992877960205,-60.0,135.0,False,598
30,Witch,8.0,20.0,17.621928453445435,-60.0,150.0,False,584
31,Witch,0.0,20.0,17.897401809692383,-60.0,135.0,False,595
32,Witch,16.0,4.500002,18.050742626190186,-70.0,150.0,False,599
33,Witch,13.0,20.0,11.089710712432861,-60.0,150.0,False,367
34,Witch,10.15,6.833334000000001,18.089770555496216,-60.0,135.00000000000003,False,600
35,Witch,13.0,8.333336,17.977240562438965,-60.0,120.0,False,599
36,Witch,7.0,3.0,18.018394947052002,-60.0,125.0,False,599
37,Witch,0.0,8.666668,18.014511585235596,-60.0,150.0,False,600
38,Witch,12.0,15.166668,17.99704599380493,-70.0,150.0,False,599
39,Witch,26.0,2.0,17.953449010849,-60.0,165.0,True,600
40,Witch,26.0,5.166668,14.0482656955719,-60.0,135.0,True,469
41,Witch,8.0,10.166666,18.073435306549072,-60.0,135.0,False,600
42,Witch,18.0,5.0,18.017645120620728,-60.0,150.0,False,600
43,Witch,5.0,6.333334000000001,18.045482397079468,-60.0,150.0,False,601
44,Witch,9.0,1.0,18.101763486862183,-60.0,135.0,False,601
45,Witch,21.0,0.0,18.03745174407959,-60.0,150.0,False,600
46,Witch,10.0,1.0,17.999916553497314,-70.0,150.0,False,599
47,Witch,7.0,6.000000999999999,18.033217430114746,-60.0,165.0,False,601
48,Witch,5.0,0.0,18.043109893798828,-60.0,135.0,False,600
49,Witch,10.0,15.166667,18.101282119750977,-60.0,90.0,False,601
50,Witch,0.0,20.0,13.918583154678345,-60.0,90.0,False,462
51,Witch,10.0,1.0,18.07047462463379,-60.0,135.0,False,600
52,Witch,6.0,19.9999990463257,17.99734401702881,-70.0,135.0,False,599
53,Witch,3.0,19.333333969999998,18.086374282836914,-60.0,90.0,False,600
54,Witch,0.0,15.666668,18.089553356170654,-60.0,105.0,False,601
55,Witch,4.0,7.166665999999999,18.049676179885864,-60.0,120.0,False,601
56,Witch,0.0,12.499998999999999,18.086020946502686,-60.0,135.0,False,598
57,Witch,14.0,18.6666679,17.993730783462524,-60.0,135.0,False,600
58,Witch,0.0,7.666668,18.057963371276855,-60.0,105.0,False,600
59,Witch,11.624001,8.666666,18.013946056365967,-60.0,135.0,False,600
60,Witch,3.0,20.0,16.70407462120056,-60.0,105.0,False,553
61,Witch,10.0,16.1666641,18.04990243911743,-60.0,120.0,False,601
62,Witch,0.0,5.666668,18.045656204223633,-60.0,165.0,False,600
63,Witch,7.0,8.500002,18.028883457183838,-60.0,105.0,False,600
64,Witch,11.0,18.1666679,18.100043296813965,-60.0,120.0,False,600
65,Witch,19.0,-1.0,18.005101680755615,-60.0,150.0,False,599
66,Witch,0.0,5.833333,17.98786973953247,-60.0,120.0,False,599
67,Witch,3.0,15.000002,17.997234582901,-60.0,95.0,False,600
68,Witch,0.0,18.1666679,18.037231922149658,-60.0,105.0,False,600
69,Witch,9.0,6.166668,18.003896713256836,-60.0,150.0,False,599
70,Witch,4.0,3.6666659999999993,18.012959480285645,-60.0,150.0,False,600
71,Witch,5.0,19.666666030000002,18.037198066711426,-60.0,150.0,False,600
72,Witch,3.0,0.0,18.056883335113525,-70.0,150.0,False,601
73,Witch,0.0,10.0,17.998178243637085,-60.0,120.0,False,600
74,Witch,21.0,10.666668,18.069002628326416,-70.0,135.0,False,601
75,Witch,26.0,8.333334,17.600715398788452,-60.0,135.0,True,586
76,Witch,0.0,20.0,16.003320932388306,-60.0,15.0,False,529
77,Witch,15.299999,2.1666680000000014,17.999495267868042,-60.0,150.00000300000002,False,599
78,Witch,0.0,8.166668,18.046217679977417,-10.0,10.0,False,599
79,Witch,3.3000000000000007,3.5000019999999985,18.02309012413025,-60.0,135.0,False,601
80,Witch,0.0,18.500001,18.06289291381836,-60.00000000000001,90.0,False,599
81,Witch,10.0,5.500002,17.968263149261475,-60.0,150.0,False,598
82,Witch,26.0,0.0,7.444769859313965,-60.0,150.0,True,250
83,Witch,26.0,0.0,15.911786079406738,-60.0,150.0,True,530
84,Witch,10.0,0.16666800000000137,17.997291326522827,-60.0,135.0,False,599
85,Witch,0.0,12.000001000000001,18.047163248062134,-60.0,105.0,False,601
86,Witch,26.0,0.16666599999999931,10.834974765777588,-60.0,135.0,True,360
87,Witch,26.0,0.0,5.601332902908325,-60.0,120.0,True,188
88,Witch,0.0,1.0,18.031733989715576,-60.0,105.0,False,598
89,Witch,0.0,14.499998,18.028594970703125,-60.0,90.0,False,601
90,Witch,7.0,11.333334,18.105727195739746,-70.0,135.0,False,601
91,Witch,9.839039,20.0,14.381884813308716,-60.00001500000002,104.99998500000001,False,475
92,Witch,26.0,0.0,14.667745590209961,-60.0,150.0,True,489
93,Witch,2.0,3.6666680000000014,18.037402391433716,-60.0,150.0,False,598
94,Witch,18.0,11.333333,18.01538848876953,-60.0,150.0,False,601
95,Witch,7.0,0.16666599999999931,18.001293897628784,-60.0,75.0,False,599
96,Witch,26.0,0.8333319999999986,6.026485919952393,-60.0,150.0,True,201
97,Witch,11.0,0.0,18.024946212768555,-60.0,150.0,False,599
98,Witch,26.0,1.6666659999999993,13.59307074546814,-60.0,135.0,True,452
99,Witch,26.0,19.83333397,13.501091241836548,-60.0,105.0,True,451
100,Witch,3.0,8.666668,17.98929500579834,-60.0,120.0,False,598
